,Phrase,Category,Score
167,биржа,Общеэкономическое,0.0
168,биржевая облигация,Фондовые и товарные рынки,0.0
169,биржевая облигация,"Международная экономика, торговля и финансы",0.0
170,благо,Потребление и розничная торговля,0.0
171,благодарить,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
172,благодарить за обратную связь,Маркетинг и реклама,1.0
173,благодарить за обратную связь,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
174,благополучатель,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
175,благополучие,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
176,благополучный,Общеэкономическое,1.0
177,благополучный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
178,благоприятно,Общеэкономическое,1.0
179,благоприятность,Общеэкономическое,1.0
180,благоприятный,Общеэкономическое,1.0
181,благотворительный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
182,благотворительный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
183,благотворительный,Маркетинг и реклама,1.0
184,благотворительный фонд,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
185,благотворительный фонд,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
186,благоустройство,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
187,блестящий,Общеэкономическое,2.0
188,бойкот,Общеэкономическое,-1.0
189,бойкотированный,Общеэкономическое,-1.0
190,бойкотирующий,Общеэкономическое,-1.0
191,бойкоты,Общеэкономическое,-1.0
192,более жёсткий,Общеэкономическое,-1.0
193,более значительный,Общеэкономическое,2.0
194,более рискованный,Общеэкономическое,-1.0
195,больной,Общеэкономическое,-1.0
196,бороться,Общеэкономическое,-1.0
197,борьба,Общеэкономическое,-1.0
198,бременять,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
199,бременять,Общеэкономическое,-1.0
200,бремя,Общеэкономическое,-1.0
201,брокер,Фондовые и товарные рынки,0.0
202,брокерский счет,Фондовые и товарные рынки,0.0
203,будущее поколение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
204,бум,Макроэкономика,1.0
205,бум,Общеэкономическое,1.0
206,бумага,"Международная экономика, торговля и финансы",0.0
207,бумага,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
208,бумага,Фондовые и товарные рынки,0.0
209,бумага,"Монетарная политика, валюта, деньги и кредит, банки",0.0
210,бухгалтерская отчётность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
211,бухгалтерский,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
212,бухгалтерский баланс,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
213,бухгалтерский отчёт,"Монетарная политика, валюта, деньги и кредит, банки",0.0
214,бухгалтерский отчёт,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
215,бухгалтерский учёт,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
216,бюджет,Макроэкономика,0.0
217,бюджет,"Монетарная политика, валюта, деньги и кредит, банки",0.0
218,бюджет,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
219,бюджет,"Государственные финансы, бюджет и налоги",0.0
220,бюджетные средства,"Государственные финансы, бюджет и налоги",0.0
221,бюджетный,Общеэкономическое,0.0
222,бюджетный,"Государственные финансы, бюджет и налоги",0.0
223,бюджетный дефицит,"Государственные финансы, бюджет и налоги",-2.0
224,бюджетный профицит,"Государственные финансы, бюджет и налоги",1.0
225,бюджетный фонд,"Государственные финансы, бюджет и налоги",0.0
226,в обязательном порядке,Общеэкономическое,0.0
227,в судебном порядке,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
228,в судебном процессе,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
229,валовые выбросы,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
230,валюта,"Государственные финансы, бюджет и налоги",0.0
231,валюта,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
232,валюта,Фондовые и товарные рынки,0.0
233,валюта,"Монетарная политика, валюта, деньги и кредит, банки",0.0
234,валюта,Макроэкономика,0.0
235,валюта,Общеэкономическое,0.0
236,валюта ,"Международная экономика, торговля и финансы",0.0
237,валютная интервенция,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
238,валютно-финансовый,"Международная экономика, торговля и финансы",0.0
239,валютный,"Государственные финансы, бюджет и налоги",0.0
240,валютный,Макроэкономика,0.0
241,валютный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
242,валютный,Фондовые и товарные рынки,0.0
243,валютный,"Монетарная политика, валюта, деньги и кредит, банки",0.0
244,валютный ,"Международная экономика, торговля и финансы",0.0
245,валютный риск,"Монетарная политика, валюта, деньги и кредит, банки",0.0
246,валютный риск,"Международная экономика, торговля и финансы",0.0
247,валютный риск,Макроэкономика,0.0
248,валютный риск,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
249,валютный риск,Фондовые и товарные рынки,0.0
250,валютный риск,"Государственные финансы, бюджет и налоги",0.0
251,валютный рынок,Фондовые и товарные рынки,0.0
252,вандализм,"Государственные финансы, бюджет и налоги",-1.0
253,ввод в эксплуатацию,Инновации,1.0
254,ввод в эксплуатацию,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
255,вводить,Инновации,0.0
256,вводить в заблуждение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
257,вводить в эксплуатацию,Инновации,1.0
258,вводить в эксплуатацию,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
259,вводить новшества,Общеэкономическое,1.0
260,вводить новшество,Инновации,1.0
261,ввозная таможенная пошлина,Макроэкономика,-1.0
262,ввозная таможенная пошлина,Потребление и розничная торговля,-1.0
263,ввозная таможенная пошлина,"Государственные финансы, бюджет и налоги",-1.0
264,ввозная таможенная пошлина,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
265,ввозные таможенная пошлины,"Государственные финансы, бюджет и налоги",0.0
266,ввозные таможенная пошлины,"Международная экономика, торговля и финансы",0.0
267,ввп,Макроэкономика,0.0
268,ввп ,Общеэкономическое,0.0
269,ведение бизнеса,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
270,ведение бизнеса,"Международная экономика, торговля и финансы",1.0
271,ведение бизнеса,Потребление и розничная торговля,1.0
272,ведение бизнеса,"Государственные финансы, бюджет и налоги",1.0
273,ведение бизнеса,Инновации,1.0
274,ведение бизнеса,Маркетинг и реклама,1.0
275,ведение бизнеса,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
276,ведение бизнеса,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
277,ведение бизнеса,"Монетарная политика, валюта, деньги и кредит, банки",1.0
278,ведомство,"Государственные финансы, бюджет и налоги",0.0
279,ведущий,Общеэкономическое,1.0
280,вексель ,Фондовые и товарные рынки,0.0
281,великий,Общеэкономическое,2.0
282,величие,Общеэкономическое,2.0
283,венчурный фонд,Инновации,0.0
284,верить,Общеэкономическое,1.0
285,верно,Общеэкономическое,1.0
286,верный,Общеэкономическое,1.0
287,вероятно,Общеэкономическое,0.0
288,версия,Инновации,0.0
289,взаимная блокировка,Общеэкономическое,-1.0
290,взаимодействие,"Международная экономика, торговля и финансы",1.0
291,взаимодействие,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
292,взаимодействие акционеров и инвесторов,Фондовые и товарные рынки,1.0
293,взаимодействие хозяйственных субъектов,"Международная экономика, торговля и финансы",0.0
294,взнос,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
295,взнос,Фондовые и товарные рынки,0.0
296,взнос в резервный фонд,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
297,взнос в резервный фонд,"Государственные финансы, бюджет и налоги",0.0
298,взнос по кредиту,"Монетарная политика, валюта, деньги и кредит, банки",0.0
299,взятка,"Государственные финансы, бюджет и налоги",-2.0
300,взяточничество,"Государственные финансы, бюджет и налоги",-2.0
301,виновность,Общеэкономическое,-1.0
302,виновный,Общеэкономическое,-1.0
303,вклад,Фондовые и товарные рынки,1.0
304,вклад,"Государственные финансы, бюджет и налоги",1.0
305,вклад,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
306,вклад,"Монетарная политика, валюта, деньги и кредит, банки",1.0
307,вклад на карту,"Монетарная политика, валюта, деньги и кредит, банки",0.0
308,вкладчик ,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
309,вкладчик ,"Монетарная политика, валюта, деньги и кредит, банки",0.0
310,включить,Общеэкономическое,1.0
311,власть,"Государственные финансы, бюджет и налоги",0.0
312,влияние,"Государственные финансы, бюджет и налоги",0.0
313,влиятельный,"Государственные финансы, бюджет и налоги",1.0
314,влиятельный,"Международная экономика, торговля и финансы",1.0
315,влиятельный,Общеэкономическое,1.0
316,влиятельный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
317,вложение,"Государственные финансы, бюджет и налоги",1.0
318,вложение,"Международная экономика, торговля и финансы",1.0
319,вложение,"Монетарная политика, валюта, деньги и кредит, банки",1.0
320,вложение,Фондовые и товарные рынки,1.0
321,вложение,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
322,вмешательство,Общеэкономическое,-1.0
323,вмешиваться,Общеэкономическое,-1.0
324,внебиржевой,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
325,внебиржевой фондовый рынок,Фондовые и товарные рынки,0.0
326,внедрение,Общеэкономическое,1.0
327,внедрение,Инновации,1.0
328,внедрение новых технологий,"Международная экономика, торговля и финансы",1.0
329,внедрение новых технологий,Инновации,1.0
330,внедрять,Инновации,1.0
331,внедрять новшество,Инновации,1.0
332,внезапно,Общеэкономическое,-1.0
333,внеоборотный актив,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
334,внеплановый,Общеэкономическое,-1.0
335,внесение изменений,Общеэкономическое,0.0
336,внесение отдельных изменений,Общеэкономическое,0.0
337,внешние защитные меры,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
338,внешние защитные меры,"Международная экономика, торговля и финансы",-1.0
339,внешние защитные меры,"Государственные финансы, бюджет и налоги",-1.0
340,внешние защитные меры,Фондовые и товарные рынки,-1.0
341,внешний долг,"Государственные финансы, бюджет и налоги",-1.0
342,внешний долг,"Международная экономика, торговля и финансы",-1.0
343,внешний долг,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
344,внешний мир,"Международная экономика, торговля и финансы",0.0
345,внешний рынок,Потребление и розничная торговля,0.0
346,внешний рынок,"Международная экономика, торговля и финансы",0.0
347,внешний рынок,Фондовые и товарные рынки,0.0
348,внешний рынок,"Государственные финансы, бюджет и налоги",0.0
349,внешний рынок,Макроэкономика,0.0
350,внешний рынок,"Монетарная политика, валюта, деньги и кредит, банки",0.0
351,внешняя торговля,Фондовые и товарные рынки,0.0
352,внешняя торговля,"Государственные финансы, бюджет и налоги",0.0
353,внешняя торговля,"Международная экономика, торговля и финансы",0.0
354,внешняя торговля,Потребление и розничная торговля,0.0
355,вниз,Общеэкономическое,-1.0
356,внимание,Общеэкономическое,0.0
357,вновь заявить,Общеэкономическое,-1.0
358,вносить поправки,Общеэкономическое,0.0
359,внутренний аудит,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
360,внутренний аудит,"Государственные финансы, бюджет и налоги",0.0
361,внутренний аудит,"Международная экономика, торговля и финансы",0.0
362,внутренний аудит,"Монетарная политика, валюта, деньги и кредит, банки",0.0
363,внутренний комитет,"Государственные финансы, бюджет и налоги",0.0
364,внутренний комитет,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
365,внутренний комитет,"Монетарная политика, валюта, деньги и кредит, банки",0.0
366,внутренний комитет,"Международная экономика, торговля и финансы",0.0
367,внутренний контроль,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
368,внутренний контроль,"Государственные финансы, бюджет и налоги",0.0
369,внутренний контроль,"Монетарная политика, валюта, деньги и кредит, банки",0.0
370,внутренний контроль,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
371,внутренний контроль,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
372,внутренний контроль,"Международная экономика, торговля и финансы",0.0
373,внутренний рынок,Потребление и розничная торговля,0.0
374,внутренний рынок,"Международная экономика, торговля и финансы",0.0
375,внутренний рынок,"Государственные финансы, бюджет и налоги",0.0
376,внутренний рынок,Общеэкономическое,0.0
377,внутренний рынок,Фондовые и товарные рынки,0.0
378,внутренний рынок,Макроэкономика,0.0
379,внутренний рынок,"Монетарная политика, валюта, деньги и кредит, банки",0.0
380,внутренний рынок,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
